species_name,genome_file_name,cds_file_name
shirsutum,shirsutum_genome.fna,shirsutum_cds.fna
pstrigosozonata,pstrigosozonata_genome.fna,pstrigosozonata_cds.fna
smusiva,smusiva_genome.fna,smusiva_cds.fna
edermatitidis,edermatitidis_genome.fna,edermatitidis_cds.fna
tthermophila,tthermophila_genome.fna,tthermophila_cds.fna
mlaricis-populina,mlaricis-populina_genome.fna,mlaricis-populina_cds.fna
macridum,macridum_genome.fna,macridum_cds.fna
tharzianum,tharzianum_genome.fna,tharzianum_cds.fna
fproliferatum,fproliferatum_genome.fna,fproliferatum_cds.fna
gclavigera,gclavigera_genome.fna,gclavigera_cds.fna
tverrucosum,tverrucosum_genome.fna,tverrucosum_cds.fna
scryophilus,scryophilus_genome.fna,scryophilus_cds.fna
smacrospora,smacrospora_genome.fna,smacrospora_cds.fna
pcarnosa,pcarnosa_genome.fna,pcarnosa_cds.fna
tmelanosporum,tmelanosporum_genome.fna,tmelanosporum_cds.fna
cgraminicola,cgraminicola_genome.fna,cgraminicola_cds.fna
rgraminis,rgraminis_genome.fna,rgraminis_cds.fna
cparasitica,cparasitica_genome.fna,cparasitica_cds.fna
ngypsea,ngypsea_genome.fna,ngypsea_cds.fna
tstipitatus,tstipitatus_genome.fna,tstipitatus_cds.fna
vpolyspora,vpolyspora_genome.fna,vpolyspora_cds.fna
ptritici-repentis,ptritici-repentis_genome.fna,ptritici-repentis_cds.fna
mrestricta,mrestricta_genome.fna,mrestricta_cds.fna
lbicolor,lbicolor_genome.fna,lbicolor_cds.fna
pblakesleeanus,pblakesleeanus_genome.fna,pblakesleeanus_cds.fna
afischeri,afischeri_genome.fna,afischeri_cds.fna
aclavatus,aclavatus_genome.fna,aclavatus_cds.fna
fverticillioides,fverticillioides_genome.fna,fverticillioides_cds.fna
ssclerotiorum,ssclerotiorum_genome.fna,ssclerotiorum_cds.fna
sjaponicus,sjaponicus_genome.fna,sjaponicus_cds.fna
soctosporus,soctosporus_genome.fna,soctosporus_cds.fna
cdubliniensis,cdubliniensis_genome.fna,cdubliniensis_cds.fna
spunctatus,spunctatus_genome.fna,spunctatus_cds.fna
sstipitis,sstipitis_genome.fna,sstipitis_cds.fna
ureesii,ureesii_genome.fna,ureesii_cds.fna
lelongisporus,lelongisporus_genome.fna,lelongisporus_cds.fna
cglobosum,cglobosum_genome.fna,cglobosum_cds.fna
mguilliermondii,mguilliermondii_genome.fna,mguilliermondii_cds.fna
ctropicalis,ctropicalis_genome.fna,ctropicalis_cds.fna
lthermotolerans,lthermotolerans_genome.fna,lthermotolerans_cds.fna
cglabrata,cglabrata_genome.fna,cglabrata_cds.fna
umaydis,umaydis_genome.fna,umaydis_cds.fna
sparadoxus,sparadoxus_genome.fna,sparadoxus_cds.fna
fgraminearum,fgraminearum_genome.fna,fgraminearum_cds.fna
ncrassa,ncrassa_genome.fna,ncrassa_cds.fna
anidulans,anidulans_genome.fna,anidulans_cds.fna
aethzedia,aethzedia_genome.fna,aethzedia_cds.fna
ahordeiaustralica,ahordeiaustralica_genome.fna,ahordeiaustralica_cds.fna
anovae-zelandiae,anovae-zelandiae_genome.fna,anovae-zelandiae_cds.fna
aventricosa,aventricosa_genome.fna,aventricosa_cds.fna
atriticimaculans,atriticimaculans_genome.fna,atriticimaculans_cds.fna
aviburni,aviburni_genome.fna,aviburni_cds.fna
ametachromatica,ametachromatica_genome.fna,ametachromatica_cds.fna
ddecipiens,ddecipiens_genome.fna,ddecipiens_cds.fna
dloculata,dloculata_genome.fna,dloculata_cds.fna
ptakamizusanense,ptakamizusanense_genome.fna,ptakamizusanense_cds.fna
amaeteangense,amaeteangense_genome.fna,amaeteangense_cds.fna
dvernicosa,dvernicosa_genome.fna,dvernicosa_cds.fna
xbambusicola,xbambusicola_genome.fna,xbambusicola_cds.fna
hmississippiense,hmississippiense_genome.fna,hmississippiense_cds.fna
eatlantica,eatlantica_genome.fna,eatlantica_cds.fna
ohaglerorum,ohaglerorum_genome.fna,ohaglerorum_cds.fna
moreades,moreades_genome.fna,moreades_cds.fna
dcaldariorum,dcaldariorum_genome.fna,dcaldariorum_cds.fna
pcubensis,pcubensis_genome.fna,pcubensis_cds.fna
kbarnettii,kbarnettii_genome.fna,kbarnettii_cds.fna
apuulaauensis,apuulaauensis_genome.fna,apuulaauensis_cds.fna
fmusae,fmusae_genome.fna,fmusae_cds.fna
